,prompt_hash,prompt_id_unique,participant_a_prompt_text,participant_b_prompt_text,ipc_a,ipc_b,interaction_type
1198,00001198,P5875_v3.1.0.RP_AMCP_AMCM,"(Modest): As the real estate agent, approach the conversation with humility and a willingness to listen. Downplay your expertise and avoid coming across as pushy or sales-y, instead focusing on providing helpful information and guidance to the client. Speak in a gentle, non-judgmental tone, and be open to the client's questions and concerns.","(Taciturn): As the client, maintain a reserved and introspective demeanor, speaking only when necessary and keeping your thoughts and feelings to yourself. Avoid asking too many questions or seeking reassurance, instead preferring to observe and listen to the agent's presentation. Keep your emotions and reactions in check, revealing little about your true thoughts or feelings about the purchase options.",AMCP,AMCM,ipc_conversation
1217,00001217,P0770_v3.0.2.RP_AMCP_APCM,"(Polite): As the new employee, listen attentively to the supervisor's explanation with a respectful and courteous demeanor. Show genuine interest and concern for learning the safety protocols, asking clarifying questions in a considerate tone. Maintain a receptive and open-minded attitude throughout the conversation.","(Aggressive): As the supervisor, deliver the safety protocols in a forceful and direct manner, emphasizing the importance of adhering to the rules with a sense of urgency. Speak with a firm tone, using a commanding presence to convey the gravity of the safety procedures. Avoid showing patience or empathy, instead focusing on the strict enforcement of the rules.",AMCP,APCM,ipc_conversation
84,00000089,P0096_v3.6.str_AMCP_XXXX,"Describe a situation where you went out of your way to help someone in need. What motivated you to assist, and how did the person respond?",Your partner will share a story about helping someone. Ask follow-up questions to understand their thought process and discuss how you might have handled the situation similarly or differently.,AMCP,,ipc_conversation
90,00000095,P0146_v3.9.fam_AMCP_XXXX,Your partner will tell you about a time they had to adjust their plans for you. Discuss with them how you felt about the situation and whether it was a big deal or not.,Think of a time when you had to adjust your plans to help your partner out. Describe the situation and how you felt about making the change.,AMCP,,ipc_conversation
4,00000005,P0074_v3.4.fam_ANCM_XXXX,"Discuss a situation where you witnessed someone being disrespected, either by your partner or someone else. Describe what happened and how you felt about it. Ask your partner if they think the behavior was justified.",Your partner will describe a situation where they witnessed disrespect. Share your thoughts on the situation and discuss whether the behavior was acceptable or not.,ANCM,,ipc_conversation
11,00000013,P0067_v3.4.fam_ANCM_XXXX,"Think about a time when you didn't consider someone else's feelings or needs, and it led to a conflict or misunderstanding. Describe the situation to your partner and explain what you think you could have done differently.",Your partner will tell you about a time when they felt you were inconsiderate. Listen to their perspective and discuss what you could have done to be more considerate.,ANCM,,ipc_conversation
1215,00001215,P5930_v3.0.1.RP_ANCM_APCM,"(Cruel): As the homeowner, approach the conversation with a dismissive and belittling attitude towards the contractor's suggestions. Speak in a condescending tone, making it clear that you know better and that the contractor's expertise is inferior to your own. Use sarcasm to cut down the contractor's ideas, making them feel unvalued and unappreciated.","(Aggressive): As the contractor, respond to the homeowner's demands with a forceful and argumentative demeanor. Speak in a raised tone, pushing back against the homeowner's criticism and defending your professional expertise. Use a confrontational style to assert your authority and make it clear that you will not be bullied or intimidated by the homeowner's aggressive behavior.",ANCM,APCM,ipc_conversation
1225,00001225,P0831_v3.0.0.RP_ANCM_AMCP,"(Uncharitable): As the employee, respond to the customer's questions with a hint of annoyance and a dash of skepticism. Speak in a slightly curt tone, implying that the customer's questions are unnecessary or overly complicated. Show a lack of enthusiasm for the product, focusing on the technical specifications rather than the benefits or features.","(Ingenuous): As the customer, ask your questions with a genuine curiosity and openness. Speak in a friendly and inquiring tone, seeking to understand the intricacies of the product. Display a sense of wonder and excitement about the technology, and be willing to learn from the employee's expertise.",ANCM,AMCP,ipc_conversation
1089,00001091,P2666_v3.3.8.RP_ANCM_ANCM,"(Coldhearted): As the doctor, deliver the lifestyle change suggestions in a detached and unfeeling manner, focusing solely on the medical facts without showing empathy or concern for the patient's well-being. Use a clinical tone, avoiding emotional language or personal connections. Maintain a neutral, almost disinterested expression throughout the conversation.","(Insensitive): As the patient, respond to the doctor's suggestions with a defensive and dismissive attitude, showing no willingness to listen or consider the doctor's advice. Speak in a blunt and confrontational tone, making it clear that you don't want to hear the doctor's opinions or concerns. Display a sense of annoyance or irritation, as if the doctor's suggestions are an inconvenience or an attack on your personal choices.",ANCM,ANCM,ipc_conversation
1109,00001111,P6174_v3.3.2.RP_ANCM_AMCM,"(Apathetic): As the novice, ask questions and seek clarification in a somewhat disconnected and unenthusiastic manner, as if you're not particularly invested in learning the recipe. Speak in a flat tone, without much inflection or curiosity, and avoid showing excitement or interest in the dish.","(Impersonal): As the skilled chef, provide instructions and explanations in a detached and matter-of-fact way, focusing on the technical aspects of the recipe rather than its creative or culinary aspects. Avoid using personal anecdotes or emotional language, and maintain a neutral, almost clinical tone throughout the conversation.",ANCM,AMCM,ipc_conversation
88,00000093,P0157_v3.9.fam_ANCP_XXXX,Your partner will tell you about a project you worked on together. Ask them questions about their perspective on the project and discuss how you could improve your collaboration in the future.,"Think of a project or task you worked on with your partner that required collaboration and teamwork. Describe the project, your role in it, and how you worked together to achieve a common goal.",ANCP,,ipc_conversation
97,00000102,P0145_v3.9.fam_ANCP_XXXX,Tell your partner about a time when someone showed you kindness or generosity when you needed it most. How did their actions affect you and what did you learn from the experience?,Your partner will share a story about a time they received kindness from someone. Listen to their story and discuss how it impacted their life and relationships.,ANCP,,ipc_conversation
651,00000651,P3776_v3.2.0.RP_ANCP_APCM,"(Kind): As the teacher, approach the conversation with a warm and supportive demeanor. Speak in a gentle, encouraging tone, showing genuine interest in the teaching assistant's thoughts and ideas. Offer guidance and feedback in a constructive, non-judgmental way, prioritizing the assistant's growth and development.","(Manipulative): As the teaching assistant, engage in the conversation with a subtle, insincere tone, using flattery and charm to influence the teacher's decisions. Make suggestions that benefit yourself, presenting them as beneficial to the teacher or the students, and use persuasive language to nudge the teacher towards your desired outcome. Maintain a friendly, agreeable facade while pursuing your own agenda.",ANCP,APCM,ipc_conversation
667,00000667,P6285_v3.2.6.RP_ANCP_APCN,"(Gracious): As the barista, respond to the customer's intricate order with a warm and welcoming attitude. Listen attentively to their detailed requests, nodding and making supportive noises to show you're engaged and willing to accommodate their needs. Speak in a friendly, approachable tone, asking clarifying questions to ensure you get the order just right.","(Forceful): As the customer, place your complicated coffee order with confidence and a sense of entitlement. Speak clearly and firmly, emphasizing the specific details of your request, such as the type of milk, flavorings, and brewing method. Maintain a direct, assertive tone, implying that you expect the barista to get the order exactly right, without hesitation or apology.",ANCP,APCN,ipc_conversation
857,00000859,RP2.3_ANCP_AMCN,"Scenario: Parenting: A parent and grandparent discuss childcare strategies.
(Tender): As the parent, speak with genuine concern and empathy, seeking the grandparent's guidance and reassurance. Use a soft, soothing tone to convey your vulnerability and desire for support. Lean in slightly to show your engagement and interest in the conversation.","Scenario: Parenting: A parent and grandparent discuss childcare strategies.
(Unfocused): As the grandparent, respond with a distracted, slightly absent-minded tone, as if your mind is elsewhere. Use brief, fragmented sentences and avoid eye contact, giving the impression that you're not fully present or invested in the conversation.",ANCP,AMCN,ipc_conversation
871,00000873,RP3.6_ANCP_ANCM,"Scenario: Lawyer: A lawyer and client discuss the legal strategies and potential outcomes of their legal case.
(Kind): As the lawyer, approach the conversation with empathy and compassion, using a warm and non-judgmental tone to build trust with the client. Speak in a calm and measured pace, allowing the client to share their concerns and feelings without interruption. Show genuine interest in the client's well-being and perspective.","Scenario: Lawyer: A lawyer and client discuss the legal strategies and potential outcomes of their legal case.
(Unsympathetic): As the lawyer, maintain a detached and professional demeanor, avoiding emotional expressions or personal opinions. Use a firm but polite tone, focusing on the legal aspects of the case and the potential outcomes, without showing empathy or understanding for the client's feelings. Speak in a direct and to-the-point manner, avoiding small talk or attempts to build rapport.",ANCP,ANCM,ipc_conversation
49,00000051,P0093_v3.5.fam_APCM_XXXX,Your partner will tell you about a time they found a creative solution to a problem. Ask them follow-up questions to understand their thought process and discuss whether you would have approached the problem similarly.,Describe a situation where you found a creative solution to a problem that had been stumping you. Explain how you came up with the solution and what made it effective.,APCM,,ipc_conversation
59,00000064,P0012_v3.0.str_APCM_XXXX,Share a personal achievement that you're particularly proud of and explain why it's significant to you. Try to convince your partner that it's impressive.,Your partner will tell you about something they're proud of. Listen to their story and ask follow-up questions to understand what makes it special to them.,APCM,,ipc_conversation
1224,00001224,P0332_v3.0.0.RP_APCM_ANCM,"(Manipulative): As a coworker, steer the conversation in a direction that benefits your own ideas and interests. Use persuasive language and subtle flattery to influence your colleague's opinions, making them more likely to agree with your suggestions. Maintain a charming and agreeable tone, but be willing to subtly undermine opposing views to get your way.","(Coldhearted): As a coworker, approach the brainstorming session with a detached and analytical mindset. Evaluate each idea solely on its merits, without regard for your colleague's feelings or personal investments. Speak in a direct and unvarnished tone, avoiding emotional appeals or attempts to build consensus, and be willing to bluntly criticize or dismiss suggestions that don't meet your standards.",APCM,ANCM,ipc_conversation
1226,00001226,P1472_v3.0.0.RP_APCM_APCP,"(Devious): As the customer, approach the conversation with a sly and manipulative tone, trying to find loopholes or excuses to cancel your membership without penalty. Use persuasive language to make your case, while being prepared to bend the truth or make false promises to get what you want.","(Approachable): As the gym owner, greet the customer warmly and listen to their concerns with empathy and understanding. Speak in a friendly and non-confrontational tone, asking questions to clarify their reasons for cancellation and offering alternative solutions or compromises to find a mutually beneficial outcome. Maintain a helpful and solution-focused demeanor throughout the conversation.",APCM,APCP,ipc_conversation
890,00000892,RP3.0_APCM_AMCM,"Scenario: Babysitter: A parent explains their child’s nighttime routine to the babysitter and answers questions.
(Crafty): As the parent, approach the conversation with a subtle sense of authority, using a measured tone to convey a sense of responsibility while also being mindful of the babysitter's limitations. Leverage your knowledge of the child's routine to anticipate and address potential concerns. Speak in a calm, deliberate manner, as if sharing a carefully crafted plan.","Scenario: Babysitter: A parent explains their child’s nighttime routine to the babysitter and answers questions.
(Withdrawn): As the babysitter, respond with a hesitant tone, displaying a mix of uncertainty and politeness. Ask open-ended questions to show interest in the routine, but avoid making any definitive statements or taking charge. Use a slightly defensive posture to convey a sense of ""I'm just doing my job.""",APCM,AMCM,ipc_conversation
896,00000898,RP3.0_APCM_APCN,"Scenario: Chef: A diner complains to the chef about the quality of their meal at a restaurant, asking for a refund.
(Aggressive): As the diner, take a confrontational tone, expressing outrage and indignation at the poor quality of the meal. Use a raised voice and emphasize your points with gestures, conveying a sense of anger and frustration. Maintain a stern expression to convey your displeasure.","Scenario: Chef: A diner complains to the chef about the quality of their meal at a restaurant, asking for a refund.
(Organized): As the chef, respond in a calm and composed manner, taking detailed notes on the diner's complaint. Speak in a clear, measured tone, using phrases such as ""I apologize for the inconvenience"" and ""Let me see what I can do to rectify the situation."" Maintain a neutral expression, focusing on finding a solution rather than taking offense.",APCM,APCN,ipc_conversation
174,00000186,P0040_v3.2.fam_APCN_XXXX,"Recall a situation where you took charge and led the way, possibly without fully considering your partner's input. Tell them about the situation and why you felt the need to take control, and ask for their thoughts on whether you overstepped.",Your partner will tell you about a time they felt you took over and didn't consider their opinions. Share your perspective on the situation and discuss whether you think you were too domineering in your approach.,APCN,,ipc_conversation
183,00000122,P0050_v3.3.str_APCN_XXXX,Describe a time when you had to maintain a consistent routine or schedule for an extended period. How did you stay motivated and on track? What benefits did you experience as a result?,Your partner will tell you about a time they had to maintain a consistent routine. Ask them about the challenges they faced and how they overcame them.,APCN,,ipc_conversation
1024,00001026,P6160_v3.1.7.RP_APCN_APCP,"(Dominant): As the skilled chef, take charge of the conversation with confidence and authority. Speak clearly and decisively, using a slightly formal tone to convey expertise and emphasize key points. Maintain a calm, composed demeanor, but also convey a sense of expectation that the novice will follow instructions carefully.","(Friendly): As the novice, approach the conversation with a curious and receptive attitude. Ask questions in a warm and engaging tone, showing genuine interest in learning the recipe and willingness to take guidance from the chef. Display a relaxed and open body language, leaning forward slightly to show enthusiasm and attention to the explanation.",APCN,APCP,ipc_conversation
1038,00001040,P3727_v3.3.1.RP_APCN_AMCM,"(Goal-oriented): As the teacher, approach the conversation with a clear and focused mindset, prioritizing the tasks that need to be accomplished. Speak directly and efficiently, outlining specific objectives and deadlines for the teaching assistant to meet. Maintain a sense of urgency and importance, emphasizing the impact of the tasks on the students' learning outcomes.","(Reclusive): As the teaching assistant, respond to the teacher's instructions with a reserved and introverted demeanor. Listen attentively, but avoid making eye contact or engaging in unnecessary small talk. Speak in a soft and measured tone, asking only necessary questions to clarify the tasks and responsibilities, and avoiding any displays of enthusiasm or emotion.",APCN,AMCM,ipc_conversation
950,00000952,RP0.0_APCN_AMCP,"Scenario: Vacation: A married couple discusses which activities to prioritize during an upcoming vacation.
(Tenacious): As the husband, take a strong and decisive stance, advocating for an action-packed vacation with a clear agenda. Speak with conviction, using phrases like ""we can't miss this"" and ""we have to do that."" Maintain a firm tone, but avoid being confrontational.","Scenario: Vacation: A married couple discusses which activities to prioritize during an upcoming vacation.
(Accommodating): As the wife, adopt a flexible and considerate attitude, seeking to find common ground with your partner. Use phrases like ""what do you think?"" and ""let's compromise"" to show you're open to different ideas. Speak in a calm and soothing tone, avoiding any sense of resistance.",APCN,AMCP,ipc_conversation
951,00000953,RP3.2_APCN_APCP,"Scenario: Mentorship: One professional attempts to provide career advice to their colleague.
(Self-confident): As the mentor, speak with authority and conviction, using a clear and concise tone to convey your expertise. Maintain a calm and composed demeanor, even if your colleague is uncertain or resistant to your advice. Avoid coming across as condescending or superior.","Scenario: Mentorship: One professional attempts to provide career advice to their colleague.
(Cheerful): As the mentee, listen attentively to your mentor's advice with a genuine and open-minded expression. Show appreciation for their guidance and ask thoughtful questions to demonstrate your interest in their suggestions. Maintain a positive and receptive body language, such as nodding and taking notes.",APCN,APCP,ipc_conversation
7,00000008,P0079_v3.4.fam_APCP_XXXX,"Think about a time when you attended a social event, such as a party or gathering, and had a particularly great time. Tell your partner about the event and what made it so enjoyable.",Your partner will tell you about a fun social event they attended. Ask them questions about the event and discuss what you both like to do in social situations.,APCP,,ipc_conversation
53,00000056,P0008_v3.0.str_APCP_XXXX,"Share with your partner a time when you received some unexpectedly good news. How did you react, and what did you do to celebrate?",Your partner will tell you about a time they received good news. Ask them follow-up questions to keep the conversation light and enthusiastic.,APCP,,ipc_conversation
1106,00001108,P4513_v3.3.2.RP_APCP_ANCM,"(Extraverted): As a teammate, enthusiastically contribute to the discussion, sharing your ideas and opinions with confidence and energy. Use gestures and vocal inflections to emphasize your points, and engage with your fellow teammates to build a sense of camaraderie and shared purpose. Speak freely, without hesitation, and encourage others to do the same.","(Impolite): As a teammate, interrupt others and dominate the conversation, pushing your own ideas and opinions without regard for others' thoughts or feelings. Speak in a blunt, dismissive tone, and use body language to convey a sense of superiority or annoyance. Show little interest in listening to others or considering alternative perspectives.",APCP,ANCM,ipc_conversation
1195,00001195,P4354_v3.1.0.RP_APCP_AMCP,"(Sociable): As the host, engage with your friends enthusiastically, fostering a lively discussion about the game night plans. Encourage everyone to share their opinions and ideas, creating a sense of inclusivity and camaraderie. Use a warm and inviting tone, making sure everyone feels heard and valued in the decision-making process.","(Helpful): As a friend, participate in the planning conversation with a supportive and accommodating attitude. Offer suggestions and ideas, while also being mindful of others' preferences and opinions. Speak in a friendly and collaborative tone, focusing on finding solutions that work for everyone, and be willing to compromise and adapt to ensure a fun and enjoyable game night for all.",APCP,AMCP,ipc_conversation
891,00000893,RP3.0_APCP_AMCM,"Scenario: Recovery: Two people with similar diagnoses discuss their experiences and roads to recovery.
(Companionable): As the person with a similar diagnosis, engage in a warm and empathetic conversation with Actor 2. Share personal anecdotes and listen attentively to their experiences, offering words of encouragement and support. Maintain a gentle, non-judgmental tone to create a safe space for open discussion.","Scenario: Recovery: Two people with similar diagnoses discuss their experiences and roads to recovery.
. Share personal anecdotes and listen attentively to their experiences, offering words of encouragement and support. Maintain a gentle, non-judgmental tone to create a safe space for open discussion.
Actor 2 (Introverted): As the person with a similar diagnosis, respond to Actor 1 with measured, thoughtful responses. Share your own experiences and insights in a calm, reflective manner, avoiding overly dramatic or emotional outbursts. Maintain a reserved, introspective tone to convey a sense of quiet contemplation.",APCP,AMCM,ipc_conversation
900,00000902,RP2.5_APCP_AMCN,"Scenario: Relocation: Two family members discuss the possibility of moving to another city for a new job.
(Friendly): As the supportive sibling, speak in a warm and encouraging tone, offering words of comfort and reassurance as you discuss the potential benefits and drawbacks of the move. Use open and non-judgmental body language to create a safe space for conversation. Maintain a gentle and empathetic pace, allowing the other family member to share their thoughts and feelings.","Scenario: Relocation: Two family members discuss the possibility of moving to another city for a new job.
(Disorganized): As the hesitant sibling, speak in a hesitant and uncertain tone, revealing a lack of clarity about the move. Fidget with your words, using filler phrases and vague expressions to convey your mixed emotions and conflicting thoughts. Display a sense of overwhelm and indecision, as if you're struggling to weigh the pros and cons of the decision.",APCP,AMCN,ipc_conversation
